,Title,Lyric,Artist
0,"[Lyrics] Westsyde – “Kpakujemu” ft. Olamide, Terri, Barry Jhay & Lyta","(Chorus)
Oya kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan

(Verse 2 – Lyta)
Kpakujemu, I wan chop life ko pe meji, am in the mood
To live and forget my sorry yeah, kpakujemu
We go party to night, kpakujemu, shayo tonight, kpakujemu
You feeling the vibe, kpakujemu, I know what you like kpakujemu
Sha ma gbese lekankan, girl you know I want some more oo
Sha ma gbese lekankan, you know I want some more oh oh

(Chorus)
Oya kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan

(Verse 3 – Terri)
This life is simple gan, if you put work you go see income
Gone are those days boys be checking nowadays boys na faragan
Oh i like it, the way you shining, keep on winning,I swear I like it
So if you dey the game, Biko holla my name
winner achiever, Biko holla my name oh eh eh
You thought I couldn’t make it, halt we are making oh
Am living my best life so if you hating na you know

(Chorus)
Oya kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan

(Verse 4 – Barry Jhay)
Eh ah! Ain’t no time to check time at all eh, gimme water make e Dey go o on a low, kpakujemu
No Dey look uche face my brother make you kpakujemu
When you see me talk to everybody
Whine your body low, sing around the roses, bere ko ma jo, (?)
Dakun dakun, ko ma gbese gbese le kan kan, dakun dakun ko ma roll oh

(Chorus)
Oya kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan
kpakujemu, kujemu, kpakujemu, kujemu, mo fun wan lowo kan

(Outro)
Whine your body low, sing around the roses, bere ko ma jo, (?)
Dakun dakun, ko ma gbese gbese le kan kan, dakun dakun ko ma roll oh",Westsyde
1,[Lyrics] Falz – “Sweet Boy”,"[Intro]
Wi-wi-willis gidem

[Pre-Chorus]
See person pikin see as he fresh
If you see am dey come give am respect
All white agbada check the Rolex
If person think am too much person go vex
See sauce dripping, liquor sipping
Chicks want booking but I get them on looking
See sauce dripping, liquor sipping
Chicks want booking but I get them on looking

[Chorus]
Sweet boy, fresh guy, sweet boy, fresh guy
Sweet boy, fresh guy, sweet boy, fresh guy (Fresh guy)

[Verse 1]
Look at how am fly in my fresh swag
look at how I shine with no recipes
Always on time like the first flight
but I make am squeeze high when I check time
Oh boy, on the air gon, pour me water
you know the boy no be your mate, call me brother (Say what?)
Sweet boy association I’m oga, sepe Eyan kan na lo bi omo yi sha

[Pre-Chorus]
See person pikin see as he fresh *fresh*
If you see am dey come give am respect
All white agbada check the Rolex *check the Rolex*
If person think am too much person go vex
See sauce dripping, liquor sipping
Chicks want booking but I get them on looking
See sauce dripping, liquor sipping
Chicks want booking but I get them on looking

[Chorus]
Sweet boy, fresh guy, sweet boy, fresh guy
Sweet boy, fresh guy, sweet boy, fresh guy
Sweet boy, fresh guy, sweet boy, fresh guy

[Verse 2]
Look at all the moves I dey give them
Look at all the nudes in my dm
Sweet chocolate boy, he is so damn fine
She wan know wetin I rub to make the beard shine
Wait make I step in the place, girlies go crase
Isn’t why your chief bridesmaid giving me face?
Why you sister no just wan give me the space? (Oh my God)
Na dem Dey rush us, we no really dey chase

[Pre-Chorus]
See person pikin see as he fresh
If you see am dey come give am respect *give am respect*
All white agbada check the Rolex *check the Rolex*
If person think am too much person go vex
See sauce dripping, liquor sipping
Chicks want booking but I get them on looking
See sauce dripping, liquor sipping
Chicks want booking but I get them on looking

[Chorus]
Sweet boy, fresh guy, sweet boy, fresh guy
Sweet boy, fresh guy, sweet boy, fresh guy
Sweet boy, fresh guy, sweet boy, fresh guy
Sweet boy, fresh guy, sweet boy, fresh guy",Falz
2,[Lyrics] Lil Kesh – “Flenjo” ft. Duncan Mighty,"[Intro]
YAGI level
skibo, skiboh
Eh eh
PH and neca
wawawa

[Chorus]
Ah!
Abeg yem yem two bottles of stout, I cannot kill myself
Abeg yem two plates of Nkwobi too, I cannot kill myself
Wowo
I must to jaiye mi (jaiye mi) Flenjo (Flenjo)
Orire, Favour, Jejely, Splendor eh eh
jaiye mi (jaiye mi), Flenjo (Flenjo),
Chop money, billions
Orire, Favour, Jejely, Splendor eh

[Verse 1 – Lil Kesh]
Ah, shebi them talk say na man wey work go chop
So I dey hustle, I dey work to ri result
I ri result, the money begin come in bulk
So I start to ball, make I no go shit for church
So I enter Beer Parlor, order Point & Kill
3 bottles, then I left the joint and chill
Nowo Nowo, fowosere, 100-billion Gang (ahh)
Pull up on you in a bullion van, ahh

A mumukumu, shayo gidi gan lojo na
Fafakufa jaiye gidi gan lojo na
As we dey enjoy, dey jarate o
Awon kele use ikebe to violate, mo daran
Call my baby o cos I get Pounds to na for you o
Sha ma redi o, cos all I have is all for you o

[Chorus – Lil Kesh & Duncan Mighty]
Ah!
Abeg yem yem two bottles of stout, I cannot kill myself
Abeg yem two plates of Nkwobi too, I cannot kill myself
Wowo
I must to jaiye mi (jaiye mi, jaiye mi oh, jaiye mi oh Flenjo) Flenjo
Orire, Favour,(jaiye mi oh, jaiye mi oh Flenjo) Jejely, Splendor eh eh
jaiye mi (jaiye mi oh, jaiye mi oh Flenjo), Flenjo
Chop money, billions
Orire, Favour, (jaiye mi oh, jaiye mi oh Flenjo) Jejely, Splendor eh

[Verse 2 – Duncan Mighty]
Joly make Caro to ama
Buburu ka ibu na azu ga egbugbadu
Girlie feli feli fe, baby feli feli fe
Help me chop the fish and chop the meat
Chop iyapulu kpomo
Lil Kesh onemiye dinma oh oh
Wene Mighty, Lil Kesh omiokono mofia mu wewe
Baby oh, chop it, kamitiomama don’t go there
Kamichiomama chop money
Wene Mighty and Lil Kesh oh uh wa
Ah!
Man and Woman kopu wadu oh, onia mamo
Man and Woman kopu wadu oh, yah
Slay mama oh, onamo, ono mio kano oh, obo uh
Slay mama oh, onamo, chop the money oh
Oh Lil Kesh oh wa

[Chorus – Lil Kesh & Duncan Mighty]
Ah!
Abeg yem yem two bottles of stout, I cannot kill myself
Abeg yem two plates of Nkwobi too, I cannot kill myself
Wowo
I must to jaiye mi (jaiye mi, jaiye mi oh, jaiye mi oh Flenjo) Flenjo
Orire, Favour,(jaiye mi oh, jaiye mi oh Flenjo) Jejely, Splendor eh eh
jaiye mi (jaiye mi oh, jaiye mi oh Flenjo), Flenjo
Chop money, billions
Orire, Favour, (jaiye mi oh, jaiye mi oh Flenjo) Jejely, Splendor eh

[Outro]
Jaiye mi oh, jaiye mi oh, Flenjo (Enjoy my life, enjoy my life, flex)
Jaiye mi oh, jaiye mi oh, Flenjo (Enjoy my life, enjoy my life, flex)
Jaiye mi oh, jaiye mi oh, Flenjo (Enjoy my life, enjoy my life, flex)
Jaiye mi oh, jaiye mi oh, Flenjo (Enjoy my life, enjoy my life, flex)
Yo, Rexxie on this one
SpyrytMix",Lil Kesh
3,[Lyrics] Olamide – “Logba Logba”,"[Intro]
Aye ori mi ni mo un je, ma logba mi o
Eledumare lo seyi eru o ba mi o
Yuh yuh yuh yuh yuh, yuh yuh yuh, yuh yuh yuh

[Chorus]
Aye ori mi ni mo’n je, ma logba mi o
Eledumare lo seyi eru o ba mi o
This is how I want my people to remember me oh
Eledumare lo seyi eru o bami o, eru o ba mi o
Logba logba, omo logba logba
Eledumare lo seyi eru o bami o
Logba logba, omo logba logba
Eledumare lo seyi eru o bami o

[Verse 1]
B’ewure we bi o we, se lo ma dan ku,
Now you know wassup ko ye ma fumble
Omo to shan oya ma bubble, gbogbo screw yen ni mo na couple
Oya balance sit up, don’t let me go,
Oya omo to shan, the way you do that thing dotidot dot
Dey make my liver to cut cut
Omode gbon agba gbon ni won fi da ile-fe
Tell me what’s on your mind, baby kilofe
Lo bi Wande Coal if life is fair
Life is not fair sugbon we Dey try for here
Oya balance sit up, don’t let me go, oya omo to shan
The way you do that tidotidot dot, dey make my liver to cut cut

[Chorus]
Aye ori mi ni mo’n je, ma logba mi o
Eledumare lo seyi eru o ba mi o
This is how I want my people to remember me oh
Eledumare lo seyi eru o bami o, eru o ba mi o
Logba logba, omo logba logba
Eledumare lo seyi eru o bami o
Logba logba, omo logba logba
Eledumare lo seyi eru o bami o

[Verse 2]
When you hear kakabum omo won na bo
Na who be the baga whe wear pinafore
To fe lo jaiye Quilox l’after four
Farabale calm down oya ye ma bo
Oya balance sit up, don’t let me go, oya omo to shan
The way you do that tidotidot dot, dey make my liver to cut cut
Ara kangudu, kangudu, oya make dem do what Dey want to do
Iyen omara mi pata, all about my money on my own mata
Ki awon ti shabalistical ko le jo, ma lo filu ja speaker jo kolejo
Shebi, olowo lo lowo, eni to ba ni doe lowo lo l’Eko

[Chorus]
Aye ori mi ni mo’n je, ma logba mi o
Eledumare lo seyi eru o ba mi o
This is how I want my people to remember me oh
Eledumare lo seyi eru o bami o, eru o ba mi o
Logba logba, omo logba logba
Eledumare lo seyi eru o bami o
Logba logba, omo logba logba
Eledumare lo seyi eru o bami o",Olamide
4,[Lyrics] Ichaba x Davido – “Man Must Chop”,"[Intro]
Vstix
Shekpe
Awawawa o wayo
Wayo, ahh, no man, no man can curse
Ichaba, adadadada
Damn… Issokay

[Verse 1 – Ichaba]
My ambition and mission is to get money
Me I want to spend money
Ahh, if na to do the Wire (ahh), my brother do the Wire (oshe)
I want this, I want that
You already know me I get a lot of needs
Anyway, anyhow, man must make this kpa o

[Chorus – Davido]
Ehh, Man Must Chop
Yeh, anyways, Man Must Chop o
Anymeans, Man Must Chop, cheeii
Man Must make this kpa o
Man Must Chop, shekpe
Anyway, Man Must Chop wa wa
Anymeans, Man Must Chop wa wa
Man Must make this kpa o

[Post-Chorus – Ichaba & Davido]
Person wey get the gala dey jaiye kaye, everyday dey buga
Ah, make I build my house for Bananana like Adenuga
Nitori Man Must Chop wa wa
Anyway, Man Must Chop o
Everyday, Man Must Chop
Man Must make this kpa o

[Verse 2 – Ichaba & Davido]
Ichaba!
Person wey grind o, he must spend money
Finally! after money land o, you go shake body, normally
If you get money, you go chop like king o o
It’s Summer vibe, come party, make we trip, oshey

Oya whine and dance, selecta
Bring am come to the center (center)
Any empty wey dey ma linger (linger)
Bring am come make we enter

[Chorus – Davido]
Ehh, Man Must Chop
Yeh, anyway, Man Must Chop o
Anymeans, Man Must Chop, cheii
Man Must make this kpa o
Man Must Chop, shekpe
Anyway, Man Must Chop wa wa
Anymeans, Man Must Chop wa wa
Man Must take this kpa o

[Verse 3 – Ichaba & Davido]
Vanessa, Vanessa, na when money enter you calling me ‘yes sir’
No get time for fakers (yoyo)
On to the next one astalavista (oyoyo)
Omode yi si gege, o yi bi big keke
Booty on point, make up on fleek
Everything on cheche, cheii

Oya whine and dance, selecta
Bring am come to the center (center)
Any empty wey dey ma linger (linger)
Bring am come make we enter

[Chorus – Davido]
Ehh, Man Must Chop
Yeh, anyways, Man Must Chop o
Anymeans, Man Must Chop, cheeii
Man Must make this kpa o

Man Must Chop, shekpe
Anyway, Man Must Chop wa wa
Anymeans, Man Must Chop wa wa
Man Must take this kpa o

[Post Chorus – Ichaba & Davido]
Person wey get the gala dey jaiye kaye, everyday dey buga
Ah, make I build my house for Bananana like Adenuga
Nitori Man Must Chop wa wa
Anyway, Man Must Chop o
Everyday, Man Must Chop
Man Must make this kpa o

[Outro]
Swaps
Shekpee
issokay
Vstix",Ichaba x Davido
5,[Lyrics] Maleek Berry – “Love U Long Time” ft. Chip,"[Intro]
Oh Mama, Oh Mama , Berry Pon This
Yeah Mama, Shake For The Girls Dem
Yeah Mama, Yeah

Oh Take Kiss, You Know Me Like It When You Take Kiss (Aww)
Oh Bend Down, Girl I Go Make Your Love Come Down (Oh)

[Chorus]
This for my lover , it’s a song for the lovers yeah
Don’t wanna be undercover no more,
Thats why I sing for yeah, Ama sing for yeah
I know say me hurt yeah, but I go do you better oh
You know you’re so special,
That why I sing for your, that’s why I sing for yur.
Long-time, Long-time yeah,
Girl you know say me love you Long-time yeah
That I ain’t seen you for a Long-Time yeah
Let me sing for you why yur slow whine yeah
Long-time, Long-time yeah
Girl you know say me love you Long Time yeah
That I ain’t seen you for a Long Time yeah
Let me sing for you when you slow whine yeah

[Verse 1 – Maleek Berry]
Girls let me holla at you right quick
Can you leave me hanging like this
For you ama curve all my side chicks
You got me praying for you, I’m going rejoice
The only one before my down
It was only you before my I blow
Now they see me shining, they go tick on the timing (No No)

Even though now we are, I’m still needing my love
It’s still you that I want
Sweet Lady, I no fit hide am no more
Let me give you that Assurance
That real gangstar romance
Oh Baby

[Chorus]
This for my lover , it’s a song for the lovers yeah
Don’t wanna be undercover no more,
Thats why I sing for yeah, Ama sing for yeah
I know say me hurt yeah, but I go do you better oh
You know you’re so special,
That why I sing for your, that’s why I sing for yur.
Long-time, Long-time yeah,
Girl you know say me love you Long-time yeah
That I ain’t seen you for a Long-Time yeah
Let me sing for you why yur slow whine yeah
Long-time, Long-time yeah
Girl you know say me love you Long Time yeah
That I ain’t seen you for a Long Time yeah
Let me sing for you when you slow whine yeah

[Verse 2 – Chip]
Oh Baby, omo ge
Its been a Long time since you come my way
Style an Crisps, you’re an Impress
Anytime you should name a time and place
You got me ticking with the Bosses
Whine for me baby don’t talk it
My Light-skin thing give me Classes*
But your dark Skin Sweet Like Chocolate
I don’t wanna keep you undercover but I want you under
Maybe you should be my Baby
Love you through the winder to the summer freaking Big, cos you are my Baby
Get the Oooh year round baby
Fullstops to the mothers
Only Fuck Niggas for the Commas
I know, you know I got the Brothers*
This One Is For My Lovers Yeah

[Chorus]
This for my lover , it’s a song for the lovers yeah
Don’t wanna be undercover no more,
Thats why I sing for yeah, Ama sing for yeah
I know say me hurt yeah, but I go do you better oh
You know you’re so special,
That why I sing for your, that’s why I sing for yur.
Long-time, Long-time yeah,
Girl you know say me love you Long-time yeah
That I ain’t seen you for a Long-Time yeah
Let me sing for you why yur slow whine yeah
Long-time, Long-time yeah
Girl you know say me love you Long Time yeah
That I ain’t seen you for a Long Time yeah
Let me sing for you when you slow whine yeah",Maleek Berry
6,[Lyrics] Pepenazi – “Psychedelic”,"[Pre-Chorus]
See this girl she rocks, she rocks
Everybody knows she rocks
And whenever she walks everybody Dey take a pause
If you want to know whatsup make you go find am for the top
This girl is Psychedelic oh

[Interlude]
Ah, okay, ah okay, a ni ko gbe body yen
File, wasere, pepe ja won si

[Chorus]
Mo ni baby yen, psychedelic oh,
She dey read her book, psychedelic oh
She love e shawarma, psychedelic oh
And her body shake, psychedelic oh
You no fit sight am cos she, psychedelic oh
She got a ring on her finger, psychedelic oh
And if she’s single see no bother, Psychedelic oh
And she get love for her bobo , psychedelic oh

[Interlude]
Okay! Rora ma gbese jejeje, ko ma lo teso lori gba
ma je ka sleep lori Verse yi
Ma je ka sun, oya fun wan je

[Verse 1]
This is for the ladies, Independent ladies
Wey no get time for rubbish
Wey dey handle their own biz, whether for shop or Na for office
My shawties sharp, dem no be novice
Shey you go blow trumpet for my ladies
Dem no be low budget oh my ladies

[Pre-Chorus]
See this girl she rocks, she rocks,
Everybody knows she rocks
And whenever she walks everybody Dey take a pause
If you want to know whatsup make you go find an for the top
This girl is Psychedelic oh

[Bridge]
She wears a make up wey, dey on fleek oh
Omo check her nails, dey are creamy oh
Omo yen sigbonle, check her physique oh
And I no go mind, if she single oh
If dem Dey vex for you, tell them free me oh
Cos all the boys for corner, dem Dey feel you oh
If I Dey lie for you, water carry me go
And if you dey feel me, me sef Dey feel you oh

[Interlude]
Awon eleyi o sho omo popopo
O sho omo sapati, o un sho omo sepeti
Awon eleyi o sho omo popopo
Won sho omo werepe, won sho omo sepeti, sepeti

[Chorus]
Mo ni baby yen, psychedelic oh
She dey read her book, psychedelic oh
She love e shawarma, psychedelic oh
And her body shake, psychedelic oh
You no fit sight am cos she, psychedelic oh,
She got a ring on her finger, psychedelic oh
And if she’s single see no bother, Psychedelic oh
And she get love for her bobo , psychedelic oh

[Bridge]
She wears a make up wey, dey on fleek oh
Omo check her nails, dey are creamy oh
Omo yen sigbonle, check her physique oh
And I no go mind, if she single oh
If dem Dey vex for you, tell them free me oh
Cos all the boys for corner, dem Dey feel you oh
If I Dey lie for you, water carry me go
And if you dey feel me, me sef Dey feel you oh

[Outro]
Psychedelic l’awon eleyi",Pepenazi
7,[Lyrics] Terri – “Bia”,"[Intro]
DJ ShockerTune baby
Uh yea
Uh yea
Uh yea yea yea yea yeee

[Verse 1]
See as you fine
Wo bo shey so ra so ra
Just how I like you baby, so am on her, on her
Once upon a time (Uh yea), I no go tell you story
I go be your lover lover, I swear no be lie olomi..lomi…lomi

[Pre-Chorus]
I want to learn your lesson,
But you no gree pick my call…call..call
I want to be that person, wey go show you that good… good love
Baby mi rora gbese, your dirty whine Dey kpai… kpai… kpai
I feel the money coming, my money start to long… long… long

[Chorus]
Bia, bia bia baby bia,
AmaraChukwu baby bia
You tell me say you like Yoruba
I be fine clean boy, omo Yoruba ba-ba-ba
Wa wa, baby wa o, Tinuke baby wa
You tell me say you like Yoruba and you like the way I dey flaunt my mulla

[Verse 2]
Malo gege seyin, je ko’ri mi wu
You know what I feel is very very true
Hold me tight, don’t leave me
Tell the world that you gat me
Take your time, baby take your time
*Say*, What you have behind you, look at your waist, your beautiful shape
Tell me what else should I do? To show that I love you, show that I care
Girl I go dey beside you, cause it’s worth the while
I’m on my way, keep my space, don’t do Shit without me baby

[Pre-Chorus]
I want to learn your lesson
But you no gree pick my call…call..call
I want to be that person wey go show you that good…good love
Baby rora gbese, your dirty whine Dey kpai… kpai… kpai
I feel the money coming, my money start to long… long… long

[Chorus]
Bia, bia bia baby bia,
AmaraChukwu baby bia,
You tell me say you like Yoruba
I be fine clean boy, omo Yoruba ba-ba-ba
Wa wa, baby wa, Tinuke baby wa
You tell me say you like Yoruba and you like the way I dey flaunt my mulla

[Outro]
Malo gege seyin, je ko’ri mi wu
You know what I feel is very very true
Hold me tight, don’t leave me
Tell the world that you gat me
Take your time, baby take your time
*Say* What you have behind you (It’s STG), look at your waist, your beautiful shape
Tell me what else should I do? To show that I love you, to show that I care",Terri
8,[Lyrics] Mystro x Tiwa Savage – “Gawu”,"[Intro]
Gawu lekpa gawu (Gawu)
Pakele come and get down on it (Gawu)
Mystro Sugar
Tiwa Savage

[Verse 1 – Mystro]
This one na party starter (Gawu)
I don’t wanna waste the lamba (Gawu)
You no dey waste lamba o (Gawu)
I don’t wanna waste the lamba (Gawu)
All these girls dey para (Gawu)
They don wait tire (Gawu)
They say Mystro, where the lamba o? (Gawu)
We want to shake tire (Gawu)

[Chorus]
Gbungbuntu gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu Gbungbuntu gawu o (Gawu)
Gawu lepa gawu (Gawu)

Gbungbuntu gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gawu lepa gawu (Gawu)

[Verse 2 – Mystro]
I know say you go dance tire
When you hear the banger, eh
And the girls dey manya o o
Awon City Royal (Gawu)
Davido start wahala (Gawu)
All the girls dey find Assurance (Gawu)
Oyinbo gimme Dollar o o (Gawu)
I dey find Alhaja (Gawu)

[Chorus]
Gbungbuntu gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gawu lepa gawu (Gawu)

Gbungbuntu gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gawu lepa gawu (Gawu

[Verse 3 – Tiwa Savage]
Tell them say we dey for City Royal (yeba)
Everybody for here dey loyal (ehen)
I just wanna get to know ya
Come make we chop the mulla (yau)
Balance am
So when the gbedu drop, them go dance am
Anybody wey talk, them go bounce am (yeba)
My baby don’t dull, make you rock the waist
Na your own, no dey fams am (ah)
Carry heavy load (ah ah) put am for below (ah ahn)
Wetin be the matter? Tiwa

[Chorus]
Gbungbuntu gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gawu lepa gawu (Gawu)

Gbudu gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gawu lepa gawu (Gawu)

[Mystro]
This one na party starter (Gawu)
I don’t wanna waste the lamba (Gawu)
Make you no dey waste lamba o (Gawu)
I don’t wanna waste the lamba (Gawu)
All these girls dey para (Gawu)
They don wait tire (Gawu)
They say Mystro, where the lamba o? (Gawu)
We want to shake tire (Gawu)

[Chorus]
Gbungbuntu gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gawu lepa gawu (Gawu)

Gbungbuntu gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gbungbuntu gbungbuntu gawu o (Gawu)
Gawu lepa gawu (Gawu)",Mystro x Tiwa Savage
9,[Lyrics] DJ Consequence – “Do Like This” ft. Tiwa Savage & Mystro,"[Intro]
Consequence
Bounce through the fire
Baby shake the bumbum
Ehn ehn
Bounce through the fire, Mystro sugar eh
Baby shake the bumbum, Tiwa-Savage

[Post Chorus]
If you getti money, dey go wan calculate your pumpumpum yh
If you getti money, dey go collaborate your flenjor o
As I getti money, Me I want to gyrate and turn Na Na(jaiye)
So I call Genevieve make she come party for London oyh

[Chorus – Mystro]
O baby do like this
Owo lo se koko
Omoge do like this o ah
Owo lo se koko
Why you dey do like this oh ah
O ti mo powo lo Shey koko
Omoge do like this o ah
Owo lo Shey koko
Mystro sugar

[Hook]
Bounce through the fire
Baby shake the bumbum
Bounce through the fire
Baby shake the bumbum

[Verse 1 – Tiwa Savage]
Tiwa-Savage
As the gbedu dey give them the musical
My body dey give them the physical
And when the condition is critical
Bobo get down on it
African bad girl, Tiwa!
Am the baddest, Singer!
Na me dey them, Ginger!
Wey dey make them, Tingerlin
International lady o, International flavor
Americana want her
Oya gbefun leyo Lankan

If you get money, dem go wan calculate your pumpumpum
If you get money, dem go collaborate your flenjor eh
As I getti money
Me I want to gyrate an turn Na Na(jaiye)
As dey no me for Lagos
Naso dem dey feel me for London eh.

[Chorus – Tiwa Savage]
O baby do like this
Owo lo Shey koko
Do like this
Owo lo shey koko o
Why you dey do like this
A bi o ti fa Igbo yo oo
Baby do like this o ah
Malo fa Igbo yo

[Hook – Mystro]
Mystro sugar
Bounce through the fire
Baby sake the bumbum well
Bounce through the fire
Baby sake the bumbum well

[Verse 2 – Mystro]
Kojo
I want to shake palm wine
She want to dance and whine o
Erima nice and fine (Erima nice and fine)
Your body dey cause tension, aje
E dey chook me injection (oh no)
Obia goni connecti
Abi you want the goody bag oh baby(jeje)
International baby, International flavor
Americana want her yh
Oya gbefun Leyo kan kan

If you get money, dem go wan calculate your pumpumpum yea
If you get money, dem go collaborate your flenjor o
As I getti money
Me I want to gyrate an turn Na Na ehn
So I call Genevieve make she come party for London Eh

[Chorus]
O baby do like this
Owo lo se koko
Omoge do like this o ah
Owo lo se koko
Why you dey do like this oh ah (Do Like This oo)
O ti mo pe owo lo Shey koko
Omoge do like this o ah (Do Like This oo)
Owo lo Shey koko

[Outro]
Mystro sugar
Bounce through the fire
Baby sake the bumbum well
Bounce through the fire
Baby sake the bumbum
Consequence!",DJ Consequence
